row_order,requested_concept_code,target_concept_code,concept_code,standard_concept_name,n_code_target,n_code_no_target,n_target_no_code,n_no_code_no_target,n_target_before_code,n_code_before_target,odds_ratio,log_odds_ratio,total_with_code
68630,target_pcr_positive,target_pcr_positive,bin_30120-Walking,Difficulty Walking,8,20,48,476,48,20,4.073673623334171,1.4045452025027274,28
24541,target_pcr_positive,target_pcr_positive,30156-Symptom_GI-2,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; Diarrhea",17,51,35,423,35,51,4.053739915219472,1.3996398908705168,68
29711,target_pcr_positive,target_pcr_positive,30166-Prev_exposure-2,"In the last 14 days, the participant lived with, or was exposed to, someone diagnosed with COVID-19 or the flu; Yes, with COVID-19; ",27,100,25,374,25,100,4.018632328553312,1.390941627966289,127
5741,target_pcr_positive,target_pcr_positive,30103-conditionsrisks-2,Following underlying conditions or risk factors selected;Diabetes,7,18,49,479,49,18,3.927108927108927,1.3679035132068338,25
9031,target_pcr_positive,target_pcr_positive,30138-COVID_Why-3,"The following best describes why the participant was tested for the Coronavirus, selected; I want to make sure I don't spread the coronavirus to others",7,19,45,455,45,19,3.8503803888419275,1.348171945715672,26
4331,target_pcr_positive,target_pcr_positive,30103-conditionsrisks-13,"Following underlying conditions or risk factors selected;Mental Health conditions, including serious mental illness",1,46,55,451,55,46,0.26242371403661724,-1.337794852380495,47
59062,target_pcr_positive,target_pcr_positive,32612-Symptoms_Ill_25,(If applicable) The participant indicates this was a first symptom related to: Sore throat,16,50,36,424,36,50,3.7999457479994576,1.334986789788177,66
52336,target_pcr_positive,target_pcr_positive,32138-vaccine_factors-8,Factors that might make participant less likely to get the vaccine selected; It depends on the risk/adverse events,6,16,50,481,50,16,3.756075607560756,1.3233746909519226,22
39581,target_pcr_positive,target_pcr_positive,31350-healthdevice_type-1,"Within the last 12 months, participant has ued a: Thermometer",3,11,35,430,35,11,3.6907532149418247,1.305830560512579,14
22426,target_pcr_positive,target_pcr_positive,30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose",27,107,25,367,25,107,3.6867305061559508,1.304740023593319,134
70975,target_pcr_positive,target_pcr_positive,bin_age_40plus,Age 40 or older,38,185,17,296,17,185,3.5164420485175203,1.2574496967545605,223
22661,target_pcr_positive,target_pcr_positive,30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat",21,77,31,397,31,77,3.500768049155146,1.252982387037115,98
51228,target_pcr_positive,target_pcr_positive,32138-vaccine_factors-4,Factors that might make participant less likely to get the vaccine selected; I do not trust the vaccine,8,24,48,473,48,24,3.3871239217336417,1.2199811606282849,32
44807,target_pcr_positive,target_pcr_positive,31396-join_hear-1,"Participant heard about the study, because of: Work",5,157,33,284,33,157,0.29656479507225775,-1.2154895512918977,162
7151,target_pcr_positive,target_pcr_positive,30103-conditionsrisks-5,Following underlying conditions or risk factors selected;Cardiovascular disease,3,10,53,487,53,10,3.0373831775700935,1.1109963478678313,13
59297,target_pcr_positive,target_pcr_positive,32613-Symptoms_Ill_26,(If applicable) The participant indicates this was a first symptom related to: Stomach or abdominal pain,5,17,47,457,47,17,3.0270676691729324,1.1075943849839374,22
5976,target_pcr_positive,target_pcr_positive,30103-conditionsrisks-20,Following underlying conditions or risk factors selected;I do not have any underlying conditions or risk factors,14,252,42,245,42,252,0.3317181129877694,-1.1034697279846817,266
58122,target_pcr_positive,target_pcr_positive,32608-Symptoms_Ill_21,(If applicable) The participant indicates this was a first symptom related to: Runny nose,17,67,35,407,35,67,2.9760041731872717,1.0905815192505315,84
1188,target_pcr_positive,target_pcr_positive,30082-Race-4,Race selected; American Indian or Alaska Native,0,12,56,485,56,12,0.34371681415929206,-1.0679371752892164,12
